Disorder,Description,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5
Bipolar I Disorder,"A mood disorder characterized by manic and depressive episodes.","Manic episodes, extreme elation or irritability",Depressive episodes,Irritability and impulsivity,Increased energy levels,Sleep disturbances
Schizophrenia,"A chronic psychotic disorder involving symptoms like delusions and hallucinations.",Delusions,Hallucinations,Disorganized speech,Impaired cognition,Abnormal psychomotor behavior
Autism Spectrum Disorder,"A developmental disorder affecting social communication and behavior.",Impaired social communication,Difficulty understanding nonverbal cues,Repetitive behaviors,Difficulty with routine daily activities,Lack of empathy in social situations
Major Depressive Disorder,"A mood disorder marked by persistent sadness and a lack of interest or pleasure in most activities.","Depressed mood, loss of interest in activities","Fatigue, changes in sleep patterns",Feelings of worthlessness or guilt,Difficulty concentrating,Thoughts of death or suicide
Generalized Anxiety Disorder,"An anxiety disorder marked by excessive worry and difficulty controlling it.",Excessive worry about a variety of topics,Restlessness and fatigue,Muscle tension,Difficulty relaxing,Trouble making decisions
Obsessive-Compulsive Disorder,"A disorder characterized by intrusive thoughts and compulsive behaviors.",Intrusive thoughts and compulsive rituals,Repetitive behaviors or rituals,Preoccupation with cleanliness,Fear of contamination or harm,Excessive checking behaviors
Post-Traumatic Stress Disorder,"A trauma and stressor-related disorder that can develop after exposure to a traumatic event.","Flashbacks, nightmares, emotional numbness",Avoidance of reminders of the trauma,Hypervigilance,Numbness or detachment from others,Difficulty sleeping or concentrating
Panic Disorder,"An anxiety disorder involving recurrent, unexpected panic attacks.","Heart palpitations, sweating, shaking","Feeling of choking, chest pain",Chills or hot flashes,Dizziness or lightheadedness,Sense of impending doom
Attention-Deficit/Hyperactivity Disorder,"A neurodevelopmental disorder involving symptoms of inattention, hyperactivity, and impulsivity.","Inattention, difficulty focusing","Impulsivity, fidgeting","Forgetfulness, distractibility",Difficulty completing tasks,"Impulsivity, reckless behavior"
Obsessive-Compulsive Personality Disorder,"A personality disorder characterized by a preoccupation with orderliness, perfectionism, and control.",Preoccupation with rules, order, and control,Reluctance to delegate tasks,Perfectionism and inflexibility,Reluctance to make mistakes,"Overworking and procrastination"
